USER     PID   PPID  VSIZE  RSS     WCHAN    PC        NAME
root      1     0     9132   1148  ffffffff 00000000 S /init
root      2     0     0      0     ffffffff 00000000 S kthreadd
root      3     2     0      0     ffffffff 00000000 S ksoftirqd/0
root      5     2     0      0     ffffffff 00000000 S kworker/0:0H
root      7     2     0      0     ffffffff 00000000 S rcu_sched
root      8     2     0      0     ffffffff 00000000 S rcu_bh
root      9     2     0      0     ffffffff 00000000 S migration/0
root      10    2     0      0     ffffffff 00000000 S migration/1
root      11    2     0      0     ffffffff 00000000 S ksoftirqd/1
root      13    2     0      0     ffffffff 00000000 S kworker/1:0H
root      14    2     0      0     ffffffff 00000000 S migration/2
root      15    2     0      0     ffffffff 00000000 S ksoftirqd/2
root      17    2     0      0     ffffffff 00000000 S kworker/2:0H
root      18    2     0      0     ffffffff 00000000 S migration/3
root      19    2     0      0     ffffffff 00000000 S ksoftirqd/3
root      20    2     0      0     ffffffff 00000000 S kworker/3:0
root      21    2     0      0     ffffffff 00000000 S kworker/3:0H
root      22    2     0      0     ffffffff 00000000 S khelper
root      25    2     0      0     ffffffff 00000000 S perf
root      348   2     0      0     ffffffff 00000000 S writeback
root      351   2     0      0     ffffffff 00000000 S crypto
root      352   2     0      0     ffffffff 00000000 S bioset
root      354   2     0      0     ffffffff 00000000 S kblockd
root      397   2     0      0     ffffffff 00000000 S vmalloc
root      404   2     0      0     ffffffff 00000000 S kworker/0:1
root      405   2     0      0     ffffffff 00000000 S smcthread/0
root      406   2     0      0     ffffffff 00000000 S tcwork
root      407   2     0      0     ffffffff 00000000 S agent_rpmb
root      416   2     0      0     ffffffff 00000000 S cfg80211
root      417   2     0      0     ffffffff 00000000 S kworker/2:1
root      501   2     0      0     ffffffff 00000000 S rpciod
root      517   2     0      0     ffffffff 00000000 S kswapd0
root      577   2     0      0     ffffffff 00000000 S fsnotify_mark
root      595   2     0      0     ffffffff 00000000 S nfsiod
root      599   2     0      0     ffffffff 00000000 S cifsiod
root      808   2     0      0     ffffffff 00000000 S kpsmoused
root      809   2     0      0     ffffffff 00000000 S kworker/1:2
root      819   2     0      0     ffffffff 00000000 S dm_bufio_cache
root      820   2     0      0     ffffffff 00000000 S cfinteractive
root      823   2     0      0     ffffffff 00000000 S dw-mci-card
root      825   2     0      0     ffffffff 00000000 S dw-mci-card
root      826   2     0      0     ffffffff 00000000 S kworker/u8:2
root      844   2     0      0     ffffffff 00000000 S binder
root      858   2     0      0     ffffffff 00000000 S agent_smmu
root      876   2     0      0     ffffffff 00000000 S mali_dvfs
root      878   2     0      0     ffffffff 00000000 S kworker/u9:0
root      896   2     0      0     ffffffff 00000000 S ipv6_addrconf
root      900   2     0      0     ffffffff 00000000 S krfcommd
root      905   2     0      0     ffffffff 00000000 S deferwq
root      911   2     0      0     ffffffff 00000000 S kworker/u8:3
root      914   2     0      0     ffffffff 00000000 S mmcqd/0
root      915   2     0      0     ffffffff 00000000 S mmcqd/0boot0
root      916   2     0      0     ffffffff 00000000 S mmcqd/0boot1
root      917   2     0      0     ffffffff 00000000 S mmcqd/0rpmb
root      975   2     0      0     ffffffff 00000000 D HDMIRX main tas
root      976   2     0      0     ffffffff 00000000 D CEC main task
root      1013  2     0      0     ffffffff 00000000 D HI_HDDEC
root      1032  2     0      0     ffffffff 00000000 D ThreadCommipMan
root      1076  2     0      0     ffffffff 00000000 D HI_VPSS_Process
root      1107  1     9124   740   ffffffff 00000000 S /sbin/ueventd
root      1548  2     0      0     ffffffff 00000000 S jbd2/mmcblk0p15
root      1549  2     0      0     ffffffff 00000000 S ext4-rsv-conver
root      1552  2     0      0     ffffffff 00000000 S kworker/0:1H
root      1554  2     0      0     ffffffff 00000000 S jbd2/mmcblk0p23
root      1555  2     0      0     ffffffff 00000000 S ext4-rsv-conver
root      1559  2     0      0     ffffffff 00000000 S jbd2/mmcblk0p22
root      1560  2     0      0     ffffffff 00000000 S ext4-rsv-conver
root      1564  2     0      0     ffffffff 00000000 S jbd2/mmcblk0p16
root      1565  2     0      0     ffffffff 00000000 S ext4-rsv-conver
root      1570  2     0      0     ffffffff 00000000 S jbd2/mmcblk0p17
root      1571  2     0      0     ffffffff 00000000 S ext4-rsv-conver
root      1577  2     0      0     ffffffff 00000000 S scsi_eh_0
root      1578  2     0      0     ffffffff 00000000 S scsi_tmf_0
root      1579  2     0      0     ffffffff 00000000 S usb-storage
root      1582  2     0      0     ffffffff 00000000 S jbd2/mmcblk0p18
root      1583  2     0      0     ffffffff 00000000 S ext4-rsv-conver
root      1587  2     0      0     ffffffff 00000000 S jbd2/mmcblk0p19
root      1588  2     0      0     ffffffff 00000000 S ext4-rsv-conver
root      1590  2     0      0     ffffffff 00000000 S jbd2/mmcblk0p12
root      1591  2     0      0     ffffffff 00000000 S ext4-rsv-conver
root      1593  2     0      0     ffffffff 00000000 S jbd2/mmcblk0p20
root      1594  2     0      0     ffffffff 00000000 S ext4-rsv-conver
logd      1595  1     33328  14788 ffffffff 00000000 S /system/bin/logd
root      1596  1     10052  492   ffffffff 00000000 S /sbin/healthd
root      1597  1     13312  2424  ffffffff 00000000 S /system/bin/lmkd
system    1598  1     10384  828   ffffffff 00000000 S /system/bin/servicemanager
root      1599  1     30016  3500  ffffffff 00000000 S /system/bin/vold
system    1600  1     130364 20844 ffffffff 00000000 S /system/bin/surfaceflinger
